"dt_referencia","dt_atualizacao","confirmados","obitos","tx_obitos","recuperados","tx_recuperados","isolamento","tx_isolamento","enfermaria","tx_enfermaria","uti","tx_uti","testes_novos","testes_acumulados","tx_testes","leitos_uti","tx_oc_uti","leitos_enf","tc_oc_enf"
"2020-04-03","","176","14","0.08","23","0.13","87","0.569","34","0.222","18","0.102","","","","","","",""
"2020-04-04","","201","21","0.104","25","0.12","87","0.494","49","0.278","19","0.094","","","","","","",""
"2020-04-05","","223","30","0.134","25","0.11","101","0.51","44","0.222","23","0.103","","","","","","",""
"2020-04-06","","352","34","0.097","32","0.09","166","0.519","94","0.294","26","0.074","","","","","","",""
"2020-04-07","","401","46","0.115","32","0.08","189","0.512","110","0.298","24","0.06","","","","","","",""
"2020-04-08","","555","56","0.101","44","0.08","246","0.481","180","0.352","29","0.052","","","","","","",""
"2020-04-09","","684","65","0.095","44","0.06","359","0.561","185","0.289","31","0.045","272","2959","308","","","",""
"2020-04-10","","816","72","0.088","45","0.06","443","0.575","222","0.288","34","0.042","322","3281","342","","","",""
"2020-04-11","","960","85","0.088","46","0.05","548","0.6","241","0.264","40","0.042","336","3617","377","","","",""
"2020-04-12","","1154","102","0.088","57","0.05","708","0.645","232","0.212","55","0.048","307","3924","409","","","",""
"2020-04-13","","1284","115","0.09","68","0.05","773","0.636","265","0.218","63","0.049","320","4244","442","","","",""
"2020-04-14","","1484","143","0.096","68","0.05","942","0.665","263","0.186","68","0.046","389","4633","483","","","",""
"2020-04-15","","1683","160","0.095","86","0.05","1095","0.686","277","0.174","65","0.039","532","5165","538","","","",""
"2020-04-16","","2006","186","0.093","88","0.04","1359","0.709","303","0.158","70","0.035","699","5864","611","269","0.95","302","0.77"
"2020-04-17","","2193","205","0.094","94","0.04","1510","0.719","313","0.149","71","0.032","499","6363","663","307","0.95","322","0.73"
"2020-04-18","","2459","216","0.088","96","0.04","1749","0.74","334","0.141","74","0.03","394","6757","704","319","0.95","327","0.83"
"2020-04-19","","2690","234","0.087","100","0.04","1924","0.743","334","0.129","74","0.028","346","7103","740","319","0.99","327","0.78"
"2020-04-20","","2908","260","0.089","100","0.03","2101","0.748","334","0.119","74","0.025","418","7521","783","319","0.99","327","0.8"
"2020-04-21","","3298","282","0.086","105","0.03","2367","0.741","334","0.105","74","0.022","515","8036","837","327","0.98","346","0.79"
"2020-04-22","","3604","312","0.087","123","0.03","2591","0.744","444","0.128","134","0.037","554","8590","895","327","0.97","346","0.8"
"2020-04-23","","3999","352","0.088","202","0.05","1857","0.489","446","0.117","172","0.043","776","9366","976","327","0.98","346","0.84"
"2020-04-24","","4507","381","0.084","220","0.05","1988","0.464","545","0.127","182","0.04","796","10162","1059","330","0.97","379","0.84"
"2020-04-25","","4898","415","0.085","416","0.08","1864","0.416","598","0.133","192","0.039","580","10742","1119","333","0.98","379","0.86"
"2020-04-26","","5358","450","0.084","704","0.13","1684","0.362","660","0.142","190","0.035","523","11265","1173","348","0.96","384","0.86"
"2020-04-27","","5724","508","0.089","943","0.16","1508","0.315","718","0.15","181","0.032","487","11752","1224","364","0.97","386","0.86"
"2020-04-28","","6194","538","0.087","953","0.15","1552","0.296","799","0.152","203","0.033","570","12322","1284","387","0.98","386","0.86"
"2020-04-29","","6876","565","0.082","1074","0.16","1626","0.28","904","0.156","202","0.029","1091","13413","1397","400","0.98","419","0.88"
"2020-04-30","","7334","603","0.082","1095","0.15","1748","0.28","1027","0.165","212","0.029","741","14154","1474","411","0.97","444","0.87"
"2020-05-01","","8145","628","0.077","1193","0.15","1894","0.272","1116","0.16","216","0.026","713","14867","1549","423","0.98","444","0.84"
"2020-05-02","","8643","652","0.075","1207","0.14","2028","0.273","1237","0.166","220","0.025","743","15610","1626","435","0.98","451","0.88"
"2020-05-03","","8863","691","0.078","1235","0.14","2040","0.267","1281","0.168","223","0.025","610","16220","1690","435","0.98","451","0.89"
"2020-05-04","","9325","749","0.08","1312","0.14","2091","0.261","1368","0.171","221","0.024","645","16865","1757","437","0.99","451","0.88"
"2020-05-05","","9881","803","0.081","1370","0.14","2133","0.251","1446","0.17","221","0.022","833","17698","1844","454","0.98","461","0.86"
"2020-05-06","","10824","845","0.078","1388","0.13","2307","0.244","1542","0.163","220","0.02","1001","18699","1948","467","0.98","461","0.87"
"2020-05-07","","11587","927","0.08","1456","0.13","2334","0.23","1661","0.164","221","0.019","856","19555","2037","471","0.96","461","0.89"
"2020-05-08","","12470","972","0.078","1480","0.12","2412","0.22","1763","0.16","222","0.018","870","20425","2128","476","0.97","463","0.86"
"2020-05-09","","13275","1047","0.079","1522","0.11","2477","0.211","1879","0.16","231","0.017","956","21381","2227","490","0.97","478","0.86"
"2020-05-10","","13768","1087","0.079","1538","0.11","2499","0.204","2008","0.164","236","0.017","684","22065","2298","512","0.96","478","0.88"
"2020-05-11","","14309","1157","0.081","2466","0.17","2370","0.2","2132","0.18","238","0.017","844","22909","2386","532","0.96","616","0.88"
"2020-05-12","","14901","1224","0.082","2600","0.17","1566","0.127","2249","0.183","237","0.016","1045","23954","2495","541","0.97","621","0.9"
"2020-05-13","","15588","1298","0.083","2752","0.18","1462","0.114","2456","0.191","237","0.015","1235","25189","2624","551","0.96","629","0.87"
